begin_date,end_date,county,county_id,too_many,mdjs_too_many,cp_too_many
01-02-50,01-02-50,Allegheny,3,TRUE,FALSE,TRUE
08-04-52,08-04-52,Allegheny,3,TRUE,FALSE,TRUE
04-16-79,04-16-79,Allegheny,3,TRUE,FALSE,TRUE
01-01-82,01-01-82,Allegheny,3,TRUE,FALSE,TRUE
01-01-93,01-01-93,Franklin,29,TRUE,FALSE,TRUE
12-31-19,12-31-19,Allegheny,3,TRUE,TRUE,FALSE
01-01-87,01-01-87,York,68,TRUE,FALSE,TRUE
01-01-88,01-01-88,York,68,TRUE,FALSE,TRUE
01-01-89,01-01-89,York,68,TRUE,FALSE,TRUE
07-16-22,07-16-22,Allegheny,3,TRUE,TRUE,FALSE
12-31-22,12-31-22,Allegheny,3,TRUE,TRUE,FALSE
07-31-23,07-31-23,Allegheny,3,TRUE,TRUE,FALSE
10-31-23,10-31-23,Allegheny,3,TRUE,TRUE,FALSE
01-01-95,01-01-95,York,68,TRUE,FALSE,TRUE
01-01-97,01-01-97,York,68,TRUE,FALSE,TRUE
01-01-98,01-01-98,York,68,TRUE,FALSE,TRUE
01-01-99,01-01-99,York,68,TRUE,FALSE,TRUE
01-01-00,01-01-00,York,68,TRUE,FALSE,TRUE
01-01-01,01-01-01,York,68,TRUE,FALSE,TRUE
01-01-02,01-01-02,York,68,TRUE,FALSE,TRUE
01-01-90,01-01-90,Bucks,10,TRUE,FALSE,TRUE
01-01-91,01-01-91,Bucks,10,TRUE,FALSE,TRUE
01-01-92,01-01-92,Bucks,10,TRUE,FALSE,TRUE
01-01-50,01-01-50,Clearfield,18,TRUE,FALSE,TRUE
01-01-81,01-01-81,Dauphin,23,TRUE,FALSE,TRUE
01-01-82,01-01-82,Dauphin,23,TRUE,FALSE,TRUE
01-01-83,01-01-83,Dauphin,23,TRUE,FALSE,TRUE
01-01-84,01-01-84,Dauphin,23,TRUE,FALSE,TRUE
01-01-85,01-01-85,Dauphin,23,TRUE,FALSE,TRUE
01-01-86,01-01-86,Dauphin,23,TRUE,FALSE,TRUE
01-01-87,01-01-87,Dauphin,23,TRUE,FALSE,TRUE
01-01-88,01-01-88,Dauphin,23,TRUE,FALSE,TRUE
01-01-89,01-01-89,Dauphin,23,TRUE,FALSE,TRUE
01-01-90,01-01-90,Dauphin,23,TRUE,FALSE,TRUE
01-01-91,01-01-91,Dauphin,23,TRUE,FALSE,TRUE
01-01-92,01-01-92,Dauphin,23,TRUE,FALSE,TRUE
01-01-93,01-01-93,Dauphin,23,TRUE,FALSE,TRUE
01-01-94,01-01-94,Dauphin,23,TRUE,FALSE,TRUE
01-01-95,01-01-95,Dauphin,23,TRUE,FALSE,TRUE
01-01-96,01-01-96,Dauphin,23,TRUE,FALSE,TRUE
01-01-97,01-01-97,Dauphin,23,TRUE,FALSE,TRUE
01-01-98,01-01-98,Dauphin,23,TRUE,FALSE,TRUE
01-01-99,01-01-99,Dauphin,23,TRUE,FALSE,TRUE
01-01-00,01-01-00,Dauphin,23,TRUE,FALSE,TRUE
01-01-01,01-01-01,Dauphin,23,TRUE,FALSE,TRUE
02-09-15,02-09-15,Dauphin,23,TRUE,TRUE,FALSE
07-16-15,07-16-15,Dauphin,23,TRUE,TRUE,FALSE
01-01-74,01-01-74,Delaware,24,TRUE,FALSE,TRUE
01-01-75,01-01-75,Delaware,24,TRUE,FALSE,TRUE
01-01-76,01-01-76,Delaware,24,TRUE,FALSE,TRUE
01-01-77,01-01-77,Delaware,24,TRUE,FALSE,TRUE
01-01-91,01-01-91,Delaware,24,TRUE,FALSE,TRUE
01-01-01,01-01-01,Delaware,24,TRUE,FALSE,TRUE
08-18-20,08-18-20,Delaware,24,TRUE,TRUE,FALSE
11-19-20,11-19-20,Delaware,24,TRUE,TRUE,FALSE
03-26-21,03-26-21,Delaware,24,TRUE,TRUE,FALSE
07-22-22,07-22-22,Delaware,24,TRUE,TRUE,FALSE
07-19-23,07-19-23,Delaware,24,TRUE,TRUE,FALSE
09-07-23,09-07-23,Delaware,24,TRUE,TRUE,FALSE
09-27-23,09-27-23,Delaware,24,TRUE,TRUE,FALSE
10-13-23,10-13-23,Delaware,24,TRUE,TRUE,FALSE
11-16-23,11-16-23,Delaware,24,TRUE,TRUE,FALSE
01-01-78,01-01-78,Fayette,27,TRUE,FALSE,TRUE
01-01-79,01-01-79,Fayette,27,TRUE,FALSE,TRUE
01-01-80,01-01-80,Fayette,27,TRUE,FALSE,TRUE
